Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimate,Volume,ACARTELA,ACARTIA,DIAPTOM,EURYTEM,OTHCALAD,PDIAPFOR,PDIAPMAR,SINOCAL,TORTANUS,ALLCALADULTS,ACANTHO,LIMNOSPP,LIMNOSINE,LIMNOTET,OITHDAV,OITHSIM,OITHSPP,OTHCYCAD,ALLCYCADULTS,HARPACT,EURYJUV,OTHCALJUV,PDIAPJUV,SINOCALJUV,ASINEJUV,ACARJUV,DIAPTJUV,TORTJUV,ALLCALJUV,LIMNOJUV,OITHJUV,OTHCYCJUV,ALLCYCJUV,EURYNAUP,OTHCOPNAUP,PDIAPNAUP,SINONAUP,ALLCOPNAUP,BOSMINA,DAPHNIA,DIAPHAN,OTHCLADO,ALLCLADOCERA,ASPLANCH,KERATELA,OTHROT,POLYARTH,SYNCH,TRICHO,ALLROTIFERS,BARNNAUP,CRABZOEA,OSTRACOD,CUMAC
STN,2018,7.5,9,2018-09-24,520,09:51:00,10,Confluence,2,12.2,3753,1.96,3789,1.98,19.8,19.7,94,13.6,1,18763,N,5.7,384.9,0,0,0,0,219.5,0,0,0,604.4,0,0,0,6.4,0,0,0,0,6.4,0,0,0,206.8,0,168.6,0,0,0,375.4,0,0,0,0,0,0,6.4,0,6.4,3.2,0,0,6.4,9.5,0,0,0,0,0,0,0,3.2,0,12.7,0
STN,2018,7.5,9,2018-09-24,609,11:45:00,10,Suisun Bay (Mont. Sl.),2,7.6,9116,5.08,8990,5.01,21.3,20.6,50,21.4,1,11908,N,3.6,483.4,0,0,0,0,47.3,0,0,5.3,535.9,0,0,0,99.8,10.5,0,0,0,110.3,57.8,15.8,0,136.6,0,656.8,0,0,0,809.2,0,0,0,0,0,630.5,26.3,0,656.8,0,0,0,5.3,5.3,0,0,0,0,0,0,0,457.1,5.3,47.3,0
STN,2018,7.5,9,2018-09-24,610,10:54:00,10,Suisun Bay (Mont. Sl.),2,4.3,7624,4.19,7599,4.18,20.3,20.5,62,16.9,2,17184,N,5.2,246.1,0,0,0,0,196.2,0,0,3.3,445.6,0,0,0,33.3,0,0,0,0,33.3,6.7,0,0,192.9,0,162.9,3.3,0,0,359.2,3.3,0,0,3.3,0,20,3.3,0,23.3,0,0,0,3.3,3.3,0,0,0,0,0,0,0,119.7,0,36.6,0
FMWT,2018,3.5,9,2018-09-24,704,08:31:00,10,Lower Sacramento River,2,9.4,1294,0.62,1682,0.83,19.5,19.3,66,18.4,1,748,N,0.2,1320.8,0,0,0,0,1320.8,0,0,0,2641.5,0,0,0,2531.5,0,0,0,0,2531.5,0,0,0,2531.5,0,0,0,0,0,2531.5,0,0,110.1,110.1,0,110.1,110.1,0,220.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.1,0
FMWT,2018,3.5,9,2018-09-24,706,08:07:00,10,Lower Sacramento River,2,9.1,165,0.07,109,0.04,19.4,18.9,79,14.4,1,8940,N,2.7,2790.3,0,0,0,0,4788.6,0,0,0,7578.9,0,0,9.2,0,0,0,0,27.6,36.8,18.4,0,0,4724.2,0,9.2,0,0,0,4751.8,0,0,36.8,36.8,0,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3,0
FMWT,2018,3.5,9,2018-09-24,802,09:25:00,10,Confluence,2,6.1,4120,2.16,4115,2.16,19.8,19.6,71,16.2,1,14615,N,4.4,1110.4,0,0,0,0,886.8,0,0,0,1997.2,0,0,0,8,0,0,0,8,16,24,0,0,407.4,0,215.7,0,0,4,651.1,8,0,4,12,0,0,4,0,4,0,0,0,12,12,0,0,0,0,0,0,0,0,0,24,0
STN,2018,7.5,9,2018-09-24,Mont,11:19:00,10,Suisun Bay (Mont. Sl.),2,2.4,7919,4.37,7146,3.91,20.5,20.6,60,17.9,1,8136,N,2.5,558.6,0,0,0,0,24.3,0,0,0,582.9,0,0,0,4,0,0,0,0,4,24.3,4,0,81,0,850,0,0,0,935,0,0,4,4,0,441.2,28.3,0,469.5,0,0,0,8.1,8.1,0,0,0,0,0,0,0,396.7,8.1,12.1,0
STN,2018,7.5,9,2018-09-25,411,10:38:00,10,Suisun Bay,2,2.4,17204,10.1,17855,10.52,19.3,18.9,35,18.2,1,16030,N,4.9,9.9,0,0,0,0,0,1.6,0,0,11.5,0,0,0,6.6,3.3,0,0,0,9.9,11.5,0,0,32.9,0,540.7,0,0,286,859.5,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,175.9,0,0,0
FMWT,2018,3.5,9,2018-09-25,416,10:10:00,10,Suisun Bay,2,8.8,18080,10.66,19770,11.75,18.7,18.3,22,35.3,1,15474,N,4.7,89.4,0,0,0,0,8.5,19.2,0,25.5,142.6,0,0,0,23.4,27.7,0,0,0,51.1,8.5,2.1,0,91.5,0,698,0,0,134.1,934.3,0,0,0,0,0,48.9,0,0,48.9,0,0,0,0,0,0,0,0,0,0,0,0,97.9,0,0,0
STN,2018,7.5,9,2018-09-25,501,09:36:00,10,Suisun Bay,2,11.3,14666,8.5,15170,8.81,19.1,18.8,19,28.8,1,11637,N,3.5,473.2,0,0,0,0,5.4,0,0,21.5,500,0,0,0,21.5,10.8,0,0,0,32.3,10.8,0,0,21.5,0,1833.5,0,0,102.2,1957.1,0,0,0,0,0,37.6,0,0,37.6,0,0,0,0,0,0,0,0,0,0,0,0,102.2,0,0,5.4
STN,2018,7.5,9,2018-09-25,504,11:07:00,10,Suisun Bay,2,7.9,11416,6.48,12340,7.05,19.5,19.2,50,11,1,8420,N,2.6,1887.5,0,0,0,0,7.4,0,0,7.4,1902.3,0,0,0,14.9,0,0,0,0,14.9,7.4,0,0,44.6,0,4867.3,0,0,22.3,4934.2,0,0,0,0,0,22.3,7.4,0,29.7,0,0,0,0,0,0,0,0,0,0,0,0,170.9,0,0,0
FMWT,2018,3.5,9,2018-09-25,508,08:09:00,10,Suisun Bay,2,12.2,10500,5.92,9000,5.01,18.5,19.2,30,19.3,1,8517,N,2.6,2380.2,0,0,0,0,14.7,0,0,102.8,2497.8,0,0,0,58.8,0,0,0,0,58.8,0,0,0,14.7,0,2240.6,0,0,7.3,2262.7,14.7,0,0,14.7,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0
FMWT,2018,3.5,9,2018-09-25,519,09:04:00,10,Honker Bay,2,1.5,12249,6.99,13735,7.91,18.2,18.3,10,47.9,1,16617,N,5,455.6,0,0,0,0,15.1,0,0,33.9,504.6,0,0,0,18.8,0,0,0,0,18.8,0,0,0,30.1,0,1408.2,0,0,37.7,1476,3.8,0,0,3.8,0,18.8,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0
STN,2018,7.5,9,2018-09-25,Honk,08:39:00,10,Suisun Bay (Honker),2,0.9,10490,5.91,10475,5.9,18.3,18.2,12,69.5,1,18204,N,5.5,402.5,0,0,0,0,40.7,0,0,13.6,456.8,0,0,0,153.8,0,0,0,0,153.8,9,4.5,0,18.1,0,1804.5,0,0,31.7,1858.7,18.1,0,0,18.1,0,85.9,9,0,95,0,0,0,0,0,0,0,0,0,0,0,0,72.4,0,0,0
STN,2018,8,10,2018-10-02,405,12:57:00,10,Suisun Bay (Carquinez St.),2,3,26819,16.4,30342,18.79,19.9,19.4,82,7.8,1,17830,N,5.4,10.5,7,0,0,10.5,0,435.1,0,84.2,547.4,0,0,0,17.5,319.3,0,0,3.5,340.4,59.7,0,0,101.8,0,3.5,10.5,0,31.6,147.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0
STN,2018,8,10,2018-10-03,501,10:06:00,10,Suisun Bay,4,10.4,17266,10.14,18150,10.71,19.4,19.4,56,14.3,1,22090,N,6.7,158.6,0,0,0,2.8,2.8,22.7,0,5.7,192.6,0,0,0,51,73.6,0,0,0,124.6,5.7,0,0,11.3,0,314.4,0,0,31.2,356.9,0,0,0,0,0,45.3,0,0,45.3,0,0,0,0,0,0,0,0,0,0,0,0,181.3,0,2.8,0
STN,2018,8,10,2018-10-03,504,11:55:00,10,Suisun Bay,4,8.8,17264,10.14,18084,10.67,19.8,19.6,62,18.9,1,18148,N,5.5,510.3,0,0,0,3.4,17.2,17.2,0,20.7,568.9,0,0,0,48.3,44.8,0,0,3.4,96.5,13.8,0,3.4,13.8,0,589.6,0,0,13.8,620.6,0,0,0,0,0,48.3,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,0,472.3,0,0,0
STN,2018,8,10,2018-10-04,411,09:16:00,10,Suisun Bay,4,12,20324,12.11,18542,10.96,19.3,19.2,34,17.1,1,28979,N,8.8,22.7,11.4,2.8,8.5,2.8,5.7,96.6,0,5.7,156.3,0,2.8,0,59.7,22.7,0,0,0,85.2,17,0,0,22.7,0,54,0,0,19.9,96.6,8.5,0,0,8.5,0,14.2,0,0,14.2,0,0,0,17,17.1,0,0,0,0,0,0,0,258.5,0,2.8,11.4
FMWT,2018,4,10,2018-10-04,416,10:09:00,10,Suisun Bay,4,9.1,21924,13.16,17954,10.58,19.5,19.4,34,20.1,1,25174,N,7.6,111.2,0,0,0,3.3,3.3,42.5,0,22.9,183.1,0,0,0,477.5,542.9,0,0,3.3,1023.6,42.5,0,0,58.9,0,333.6,0,0,215.8,650.8,75.2,6.5,0,81.8,0,166.8,0,0,166.8,0,0,0,0,0,0,0,0,0,0,0,0,1255.8,0,0,3.3
FMWT,2018,4,10,2018-10-04,606,13:54:00,10,Montezuma Slough,2,9.1,15830,9.23,14711,8.52,19.8,19.6,41,17.6,1,23520,N,7.1,872,0,0,0,0,16.8,1.7,0,30.2,920.7,0,0,0,6.7,0,0,0,0,6.7,1.7,0,0,5,0,739.3,0,0,25.2,771.2,5,0,6.7,11.8,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,1.7,0
FMWT,2018,4,10,2018-10-04,802,15:55:00,10,Confluence,2,7.3,7143,3.91,7711,4.24,19.9,19.9,56,8.6,1,21116,N,6.4,1496.4,0,0,0,0,103.7,0,0,3.7,1603.8,0,0,0,14.8,0,0,0,0,14.8,3.7,0,0,48.2,0,277.8,0,0,3.7,333.3,0,0,0,0,0,3.7,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,7.4,3.7,3.7,0
FRP,2018,8,10,2018-10-04,Grizz,10:20:00,10,Suisun Bay (Grizzly),2,1.6,15132,8.79,NA,NA,19.3,NA,56,8.7,1,15947,N,4.8,0,0,0,0,0,6.2,0,0,0,6.2,0,0,0,12.4,0,0,0,0,12.4,6.2,0,0,55.8,0,12507.9,0,0,9137.8,21701.4,0,0,0,0,0,260.2,0,0,260.2,0,0,0,0,0,0,0,0,0,0,0,0,130.1,0,0,0
FMWT,2018,4,10,2018-10-05,508,12:10:00,10,Suisun Bay,4,11.3,8673,4.82,9106,5.08,19.6,19.5,56,13,2,29864,N,9.1,774.1,0,0,0,0,17.6,0,0,7.8,799.5,0,0,0,68.4,2,0,0,0,70.4,2,0,0,13.7,0,369.5,0,0,9.8,394.9,2,0,0,2,0,15.6,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0
FMWT,2018,4,10,2018-10-05,513,14:32:00,10,Confluence,4,13.1,9195,5.13,9537,5.33,19.7,19.6,69,9.3,1,28186,N,8.6,3010.1,0,0,0,0,77.7,0,0,11.1,3098.9,0,0,0,8.9,0,0,0,0,8.9,0,0,0,8.9,0,270.8,0,0,4.4,284.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0
FMWT,2018,4,10,2018-10-05,519,10:32:00,10,Honker Bay,4,2.4,9257,5.17,10465,5.9,19.4,19,68,15.6,1,21157,N,6.4,1419.1,0,0,0,0,35.4,0,0,5.4,1460,0,0,0,144.4,0,0,0,0,144.4,2.7,0,0,21.8,0,558.4,0,0,35.4,618.3,2.7,0,0,2.7,0,40.9,0,0,40.9,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0
STN,2018,8,10,2018-10-05,Honk,10:53:00,10,Suisun Bay (Honker),4,2.4,12530,7.16,13212,7.59,18.8,18.9,38,19,1,15750,N,4.8,759.4,0,0,0,0,10,0,0,45.2,814.6,0,0,0,0,1.7,0,0,0,1.7,1.7,0,0,3.3,0,316.1,0,0,5,324.5,0,0,0,0,0,5,1.7,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,41.8,0,0,0
FMWT,2018,4,10,2018-10-08,704,08:49:00,10,Lower Sacramento River,2,9.4,1616,0.79,1737,0.86,18.6,18.6,54,20.7,1,23066,Y,7,671,0,0,0,0,146.3,0,0,0,817.4,0,0,0,324.8,0,0,0,3.6,328.4,21.4,0,0,146.3,0,3.6,0,0,0,171.3,7.1,0,0,7.1,0,7.1,3.6,0,10.7,0,0,0,14.3,14.3,0,0,0,0,0,0,0,0,0,10.7,3.6
FMWT,2018,4,10,2018-10-08,706,09:55:00,10,Lower Sacramento River,2,9.4,249,0.11,251,0.11,18.7,18.7,108,8.3,1,24306,N,7.4,202.2,0,0,2.4,0,110.5,0,0,0,315,0,0,0,2.4,0,0,0,16.5,18.8,2.4,2.4,0,604.2,0,4.7,0,2.4,0,616,2.4,0,37.6,40,0,0,42.3,0,42.3,9.4,0,4.7,16.5,30.6,0,0,2.4,0,0,0,2.4,0,0,7.1,0
FMWT,2018,4,10,2018-10-08,707,10:19:00,10,Lower Sacramento River,2,9.8,150,0.06,154,0.06,18.9,18.8,120,5,1,23066,Y,7,47.5,0,0,0,0,1151.8,0,2.5,0,1201.8,0,0,2.5,0,0,0,0,25,27.5,0,0,0,1434.1,0,0,0,0,0,1434.1,0,0,72.5,72.5,0,5,80,0,84.9,7.5,0,7.5,55,70,0,0,2.5,0,0,0,2.5,0,0,22.5,0
STN,2018,8,10,2018-10-09,520,09:11:00,10,Confluence,2,12.8,5671,3.05,5628,3.02,18.6,18.5,40,NA,1,3817,Y,1.2,4245.6,0,0,0,0,639.3,0,0,0,4884.9,0,0,0,147.5,0,0,0,0,147.5,0,0,0,196.7,0,557.3,0,0,0,754,0,0,49.2,49.2,0,16.4,0,0,16.4,16.4,0,0,0,16.4,0,0,0,0,0,0,0,0,0,16.4,0
FMWT,2018,4,10,2018-10-09,602,09:58:00,10,Suisun Bay,2,1.5,16636,9.74,16397,9.59,18.8,19.3,70,NA,1,25083,N,7.6,823.3,0,0,0,0,2.4,0,0,30.9,856.7,0,0,0,21.4,28.6,0,0,0,50,2.4,0,0,7.1,0,3538.5,0,0,214.2,3762.1,0,0,0,0,0,9.5,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0
STN,2018,8,10,2018-10-09,610,11:37:00,10,Suisun Bay (Mont. Sl.),2,4,9466,5.29,9543,5.34,19.6,19.4,42,NA,1,15807,N,4.8,657.1,0,0,39.6,0,79.2,0,0,15.8,791.7,4,0,0,47.5,0,0,0,0,51.5,15.8,7.9,0,11.9,0,166.2,0,0,0,186,0,0,0,0,0,15.8,0,0,15.8,0,0,0,27.7,27.7,0,0,0,0,0,0,0,510.6,0,95,0
STN,2018,8,10,2018-10-09,Mont,11:12:00,10,Suisun Bay (Mont. Sl.),2,3,11685,6.64,11864,6.75,18.8,18.6,38,NA,1,16553,N,5,1489.3,0,0,0,0,71.8,0,0,15.1,1576.2,0,0,0,11.3,0,0,0,0,11.3,18.9,0,0,3.8,0,502.7,0,0,7.6,514.1,0,0,0,0,0,3.8,0,0,3.8,0,0,0,3.8,3.8,0,0,0,0,0,0,0,275.9,0,11.3,3.8
EMP,2018,10,10,2018-10-12,NZ060,06:27:00,10,WestDel,1,11.6,8440,4.68,NA,NA,18.2,NA,76,NA,NA,20619,N,11.5,2154.9,0,0,0,0,103.4,0,0,14,2272.3,0,0,0,559,0,0,0,2.8,561.8,16.8,0,0,19.6,0,299.1,0,0,5.6,324.2,22.4,0,8.4,30.7,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0
EMP,2018,10,10,2018-10-12,NZ064,09:02:00,10,SacR,1,8.8,3106,1.6,NA,NA,18.1,NA,52,NA,NA,24779,N,7.6,1741,0,0,0,0,490,0,0,0,2231.1,0,0,0,18.9,2.4,0,0,4.7,25.9,0,0,0,68.3,0,0,0,0,0,68.3,0,0,4.7,4.7,0,0,0,0,0,0,0,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0
EMP,2018,10,10,2018-10-12,NZ068,09:30:00,10,SacR,1,5.3,160,0.07,NA,NA,18.4,NA,360,NA,NA,19903,N,6,235.8,0,0,0,3.1,936.8,0,0,0,1175.7,0,0,0,6.3,0,0,0,9.4,15.7,0,3.1,0,1254.3,0,0,0,0,0,1257.5,0,0,34.6,34.6,0,0,31.4,0,31.4,0,0,9.4,31.4,40.9,0,0,0,0,0,0,0,0,0,0,0
EMP,2018,10,10,2018-10-17,NZ054,10:46:00,10,SuiBay,1,11.3,12691,7.26,16308,9.53,17.4,NA,72,NA,NA,23788,N,7.2,853.1,0,0,0,0,25.1,0,0,278.5,1156.7,0,0,0,72.8,22.6,0,0,0,95.3,5,0,0,5,0,180.7,0,0,2.5,188.2,5,0,0,5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0
EMP,2018,10,10,2018-10-18,NZ028,14:02:00,10,SuiBay,1,1.4,18736,11.09,NA,NA,17,NA,76,NA,NA,25606,N,5.7,801.5,0,0,0,4.9,0,0,0,24.4,830.8,0,0,0,29.3,178.4,0,0,0,207.7,31.8,4.9,4.9,7.3,0,796.6,2.4,0,276.1,1092.3,0,0,9.8,9.8,48.9,0,0,48.9,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0
EMP,2018,10,10,2018-10-18,NZ032,15:50:00,10,SuiMar,1,8.4,16923,9.92,17386,10.22,18.3,NA,52,NA,NA,25468,N,7.7,1776.2,0,0,7.4,0,12.3,0,0,59,1854.9,0,0,0,149.9,22.1,0,0,0,172,2.5,39.3,0,2.5,0,700.2,0,0,73.7,815.6,9.8,0,14.7,24.6,0,19.7,0,0,19.7,0,0,0,0,0,0,0,2.5,0,0,0,2.5,9.8,0,4.9,0
EMP,2018,10,10,2018-10-18,NZS42,14:55:00,10,SuiMar,1,4.8,15435,8.98,NA,NA,17.8,NA,56,NA,NA,20370,N,6.1,1248.3,0,0,360.4,0,11.7,0,0,58.6,1679,23.4,0,0,190.5,8.8,0,0,0,222.7,17.6,1696.6,0,26.4,0,465.9,0,0,29.3,2218.1,2.9,0,360.4,363.3,64.5,0,0,70.3,0,0,0,0,0,0,0,630,0,8.8,0,638.8,35.2,0,0,0,0
FMWT,2018,4.5,10,2018-10-22,513,09:06:00,10,Confluence,2,12.8,8544,4.74,4276,2.25,16.8,16.4,99,10.8,1,22126,N,6.7,1000,0,0,0,0,274.4,0,0,10.6,1284.9,0,0,0,42.2,0,0,0,0,42.2,0,0,0,34.3,0,274.4,0,0,0,308.7,5.3,0,2.6,7.9,0,2.6,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0
STN,2018,8.5,10,2018-10-22,520,09:45:00,10,Confluence,2,11.9,6512,3.54,6616,3.6,17.2,16.9,114,11.7,1,5950,Y,1.8,3296.6,0,0,0,0,3031.7,0,0,0,6328.3,0,0,0,39.2,0,0,0,19.6,58.9,0,9.8,0,225.7,0,461.1,0,0,0,696.6,0,0,9.8,9.8,0,0,9.8,0,9.8,0,0,9.8,9.8,19.6,0,0,0,0,0,0,0,9.8,0,0,9.8
STN,2018,8.5,10,2018-10-22,609,12:24:00,10,Suisun Bay (Mont. Sl.),4,11.3,9773,5.48,9860,5.53,17.7,17.7,51,21.5,1,13558,N,4.1,525.3,0,0,0,0,99,0,0,8.6,632.9,0,0,0,73.2,0,0,0,0,73.2,12.9,25.8,0,25.8,0,198.1,0,0,8.6,258.3,4.3,0,8.6,12.9,0,133.5,4.3,0,137.8,0,0,0,0,0,0,0,0,0,0,0,0,112,0,30.1,8.6
STN,2018,8.5,10,2018-10-22,610,11:31:00,10,Suisun Bay (Mont. Sl.),4,5.2,10019,5.63,10056,5.65,17.4,17.2,46,18.5,1,6311,N,1.9,3113.1,0,0,0,0,703.9,0,0,39.7,3856.7,0,0,0,565.1,0,0,0,0,565.1,39.7,9.9,0,89.2,0,366.8,0,0,0,466,9.9,0,9.9,19.8,0,0,19.8,0,19.8,0,0,0,99.1,99.1,0,0,9.9,0,0,0,9.9,19.8,0,19.8,0
FMWT,2018,4.5,10,2018-10-22,704,13:32:00,10,Lower Sacramento River,2,11,5927,3.2,6210,3.36,17.6,17.6,87,17.3,1,17401,N,5.3,3891.4,0,0,0,0,1420.8,0,0,9.9,5322.1,0,0,0,440.5,0,0,0,0,440.5,9.9,0,3.3,69.5,0,66.2,0,0,0,149,0,0,13.2,13.2,0,3.3,3.3,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0
FMWT,2018,4.5,10,2018-10-22,706,13:55:00,10,Lower Sacramento River,2,9.1,2219,1.11,2956,1.51,18.2,17.9,73,22.5,1,18659,N,5.7,1037.8,0,0,0,0,1328.1,0,0,0,2365.8,0,0,0,753.6,0,0,0,6.2,759.8,24.7,0,0,278,0,0,0,0,0,302.7,6.2,0,6.2,12.4,0,0,6.2,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,6.2
FMWT,2018,4.5,10,2018-10-22,802,08:35:00,10,Confluence,4,6.1,6918,3.77,6899,3.76,17.3,16.8,71,10,1,28681,N,8.7,845.9,0,0,0,0,801.7,0,0,2,1649.7,0,0,0,42.2,0,0,0,2,44.2,6,0,0,48.2,0,82.4,0,0,0,136.6,0,0,4,4,0,2,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0
STN,2018,8.5,10,2018-10-22,Mont,11:58:00,10,Suisun Bay (Mont. Sl.),4,3.7,9385,5.24,9558,5.35,17.6,17.4,50,15.9,1,10936,N,3.3,758.8,0,0,4.5,0,126.5,0,0,9,898.9,0,0,0,54.2,0,0,0,0,54.2,9,9,0,27.1,0,388.5,0,0,9,433.6,0,0,13.6,13.6,0,31.6,4.5,0,36.1,0,0,0,0,0,0,0,0,0,0,0,0,85.8,0,13.6,4.5
STN,2018,8.5,10,2018-10-23,411,11:37:00,10,Suisun Bay,4,6.1,24124,14.61,24545,14.89,17.1,16.7,76,16.3,1,5961,N,1.8,0,10,0,0,10,0,150.2,0,10,180.2,0,0,0,100.1,490.6,0,0,0,590.8,110.1,0,0,80.1,0,60.1,60.1,0,560.7,761,0,20,0,20,0,190.2,0,0,190.2,0,0,0,0,0,0,0,0,0,0,0,0,1041.4,0,0,30
FMWT,2018,4.5,10,2018-10-23,416,11:07:00,10,Suisun Bay,4,10.1,22483,13.52,24012,14.53,16.6,16.2,62,23.4,1,7860,N,2.4,437.8,79.6,0,8,15.9,0,286.6,0,199,1026.9,0,0,0,286.6,1026.9,0,0,0,1313.5,79.6,15.9,8,199,0,1082.6,143.3,0,469.7,1998.1,63.7,0,15.9,79.6,0,238.8,0,0,238.8,0,0,0,0,0,0,0,8,0,0,0,8,71.6,0,0,8
STN,2018,8.5,10,2018-10-23,501,09:58:00,10,Suisun Bay,2,9.1,18256,10.78,19520,11.59,16.6,16.3,60,21.1,1,12764,N,3.9,803.9,0,0,0,0,9.8,19.6,0,235.3,1068.6,0,0,0,53.9,132.4,0,0,0,186.3,14.7,0,4.9,29.4,0,2205.9,0,0,196.1,2436.3,0,0,19.6,19.6,0,245.1,0,0,245.1,0,0,0,0,0,0,0,0,0,0,0,0,235.3,0,0,4.9
STN,2018,8.5,10,2018-10-23,504,12:08:00,10,Suisun Bay,4,7,16559,9.69,18234,10.76,17,16.6,62,12.7,1,9410,N,2.9,1781,0,0,0,0,0,0,0,43.7,1824.8,0,0,0,18.7,18.7,0,0,0,37.5,12.5,0,0,18.7,0,3837,6.2,0,175,4037,6.2,0,6.2,12.5,0,31.2,0,0,31.2,0,0,0,0,0,0,0,0,0,0,0,0,218.7,0,6.2,0
FMWT,2018,4.5,10,2018-10-23,519,09:16:00,10,Honker Bay,2,0.9,16032,9.36,15991,9.33,15.9,15.7,49,42.7,1,20915,N,6.4,388.1,0,0,0,0,8.6,0,0,17.1,413.8,0,0,0,25.7,8.6,0,0,5.7,40,2.9,0,0,8.6,0,876.1,0,0,17.1,904.7,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,37.1,0,0,2.9
FMWT,2018,4.5,10,2018-10-23,602,10:33:00,10,Suisun Bay,4,1.5,21022,12.57,21060,12.59,16.6,16.4,53,45.7,1,16784,N,5.1,186,4.7,0,0,0,2.4,2.4,0,18.8,214.3,0,0,0,51.8,287.2,0,0,2.4,341.4,42.4,4.7,0,68.3,0,722.8,11.8,0,442.6,1292.6,0,11.8,33,44.7,0,277.8,0,0,277.8,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,2.4
STN,2018,8.5,10,2018-10-23,Honk,08:50:00,10,Suisun Bay (Honker),2,0.9,15287,8.89,14905,8.65,16.2,16.1,40,40.2,1,18183,N,5.5,500.8,3.2,0,0,0,6.4,0,0,25.7,536.2,0,0,0,407.7,9.6,0,0,0,417.4,41.7,0,0,9.6,0,796.2,3.2,0,25.7,834.7,16.1,0,6.4,22.5,0,28.9,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,9.6,0
STN,2019,3,7,2019-07-08,704,07:33:00,10,Lower Sacramento River,4,7.9,173,0.07,132,0.05,21.3,21.1,47,23.9,1,12998,N,3.9,235.6,0,0,7.6,0,2295.4,0,7.6,0,2546.2,7.6,0,0,0,0,0,0,22.8,30.4,0,0,0,3511.5,68.4,15.2,0,0,0,3595.1,0,0,68.4,68.4,0,0,638.5,15.2,653.7,7.6,15.2,7.6,0,30.4,0,0,0,0,0,0,0,0,0,0,0
STN,2019,3,7,2019-07-08,706,08:32:00,10,Lower Sacramento River,4,6.7,130,0.05,123,0.05,21.3,21.1,57,20.1,1,13304,N,4,287.1,0,0,0,0,834.5,0,26.9,0,1148.5,44.9,0,0,0,0,0,0,4.5,49.4,0,0,4.5,1471.6,4.5,0,0,0,0,1480.5,0,0,103.2,103.2,0,0,188.4,4.5,192.9,35.9,22.4,13.5,31.4,103.2,0,0,0,0,0,0,0,0,0,4.5,0
STN,2019,3,7,2019-07-08,707,09:25:00,10,Lower Sacramento River,4,9.1,128,0.05,123,0.05,21.7,21.4,77,11.3,1,13819,N,4.2,155.5,0,0,0,0,2552.7,0,34.6,0,2742.7,13,0,0,0,0,0,0,17.3,30.2,0,4.3,0,928.6,0,0,0,4.3,0,937.3,0,0,108,108,0,0,51.8,0,51.8,120.9,30.2,30.2,17.3,198.7,0,0,0,0,0,0,0,0,0,4.3,0
EMP,2019,7,7,2019-07-08,NZ060,08:15:00,10,WestDel,1,11.4,1055,0.5,NA,NA,21.5,NA,48,NA,NA,24603,N,7.7,1377.3,0,0,0,0,5757.5,0,18.7,0,7153.6,18.7,0,0,192.1,0,0,0,14.1,224.9,14.1,0,0,4183.5,32.8,37.5,0,0,0,4253.7,0,0,9.4,9.4,0,60.9,0,60.9,4.7,0,14.1,9.4,28.1,0,0,0,0,0,0,0,0,0,0,0,0
